subjID	wme_mask	intersect_ses-S1_task-study	intersect_ses-S2_task-test	intersect_ses-S2_task-rest	scaled_ses-S1_1	scaled_ses-S1_2	scaled_ses-S2_1	scaled_ses-S2_2	scaled_ses-S2_3	scaled_resting	decon_ses-S1_1	decon_ses-S2_1	decon_resting	ashs_L	ashs_R	reface
sub-4153	2022-03-05 10:22:45		2022-03-05 10:22:45				2022-03-05 10:22:46	2022-03-05 10:22:53	2022-03-05 10:22:47			2022-03-05 10:22:48		2021-12-20 09:18:17	2021-12-20 09:18:17	2021-11-29 15:06:31
sub-4154														2022-03-07 10:14:36	2022-03-07 10:14:36	2021-11-29 15:07:15
sub-4160	2022-03-05 08:39:30		2022-03-05 08:39:30				2022-03-05 08:39:34	2022-03-05 08:39:32	2022-03-05 08:39:31			2022-03-05 08:39:34		2021-12-20 09:18:20	2021-12-20 09:18:20	2021-11-29 15:07:00
sub-4164	2022-03-05 09:26:36		2022-03-05 09:26:36				2022-03-05 09:26:43	2022-03-05 09:26:41				2022-03-05 09:26:43		2021-12-20 09:18:21	2021-12-20 09:18:21	2021-11-29 15:07:14
sub-4165														2021-12-20 09:18:18	2021-12-20 09:18:18	2021-11-29 15:07:08
sub-4166														2021-12-20 09:18:17	2021-12-20 09:18:17	2021-11-29 15:07:00
sub-4167														2021-12-20 09:17:59	2021-12-20 09:17:59	2021-11-29 15:07:21
sub-4168	2022-03-05 10:09:08		2022-03-05 10:09:08				2022-03-05 10:09:14	2022-03-05 10:09:15	2022-03-05 10:09:11			2022-03-05 10:09:15				2021-11-29 15:17:16
sub-4169	2022-03-05 10:10:36		2022-03-05 10:10:36				2022-03-05 10:10:40	2022-03-05 10:10:39	2022-03-05 10:10:38			2022-03-05 10:10:41		2021-12-20 09:18:19	2021-12-20 09:18:19	2021-11-29 15:17:02
sub-4172														2021-12-20 09:18:18	2021-12-20 09:18:18	2021-11-29 15:17:12
sub-4173	2022-03-05 10:37:02		2022-03-05 10:37:02				2022-03-05 10:37:05	2022-03-05 10:37:04	2022-03-05 10:37:11			2022-03-05 10:37:05		2021-12-20 09:18:18	2021-12-20 09:18:18	2021-11-29 15:16:55
sub-4174	2022-03-05 10:10:13		2022-03-05 10:10:13				2022-03-05 10:10:17	2022-03-05 10:10:15	2022-03-05 10:10:14			2022-03-05 10:10:17		2021-12-20 09:17:58	2021-12-20 09:17:58	2021-11-29 15:16:54
